match_number,winner,team1,team2,toss_winner,toss_decision,venue,city,team1_win_pct,team2_win_pct,team1_h2h_win_pct,team1_prev_score,team1_prev_wkts,team2_prev_score,team2_prev_wkts,team1_avg_recent_bat_sr,team1_avg_recent_bowl_econ,team2_avg_recent_bat_sr,team2_avg_recent_bowl_econ
1216526,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Abu Dhabi,0.5274725274725275,0.5863874345549738,0.23076923076923078,164,6,193,4,137.21549636803874,8.27064396364102,131.5295545802596,7.7785168412114345
1216509,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Sharjah Cricket Stadium,Unknown,0.6023391812865497,0.45,0.6818181818181818,132,8,162,4,131.9403380256829,7.893740136770121,128.69573914782956,7.646365795724465
1216522,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Dubai International Cricket Stadium,Unknown,0.5066666666666667,0.47802197802197804,0.5263157894736842,163,5,194,2,128.69573914782956,7.646365795724465,140.9301507242977,8.243880013791518
1216533,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Sheikh Zayed Stadium,Abu Dhabi,0.5988372093023255,0.5033112582781457,0.6363636363636364,167,6,148,8,129.35638964082258,7.800351699882766,135.32915522867353,8.015787197231834
1216546,Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Dubai International Cricket Stadium,Unknown,0.4530386740331492,0.4530386740331492,0.4166666666666667,161,7,150,5,129.22984114216771,7.795830169946854,140.3284476302557,8.232915415857319
1216494,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Abu Dhabi,0.5245901639344263,0.4808743169398907,0.56,150,5,171,6,134.59910198845412,8.11394422310757,135.2101792705543,7.991241187780389
1216518,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium,Unknown,0.506578947368421,0.5263157894736842,0.5,177,6,150,5,131.74371729993996,7.922585438335809,134.09119857343015,8.093206951026856
1216521,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Sharjah Cricket Stadium,Unknown,0.5953757225433526,0.5885416666666666,0.41379310344827586,179,4,150,5,131.69555195082387,7.927481759893876,140.32232328067656,8.231764911666957
1216497,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Sheikh Zayed Stadium,Abu Dhabi,0.5217391304347826,0.45054945054945056,0.5652173913043478,148,5,185,5,129.4130642904485,8.089508437270727,137.55934587656057,7.767257177764203
1216498,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium,Unknown,0.45604395604395603,0.5304347826086957,0.26666666666666666,177,2,147,8,137.55934587656057,7.767257177764203,132.27777451383585,7.65720823798627
1216541,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sheikh Zayed Stadium,Abu Dhabi,0.5906735751295337,0.5032679738562091,0.5238095238095238,149,2,126,3,133.8023428032853,7.934059049259927,132.035263895376,7.637166138524218
1216544,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Dubai International Cricket Stadium,Unknown,0.483695652173913,0.5919540229885057,0.375,179,3,125,5,129.47976878612718,8.068014038484812,133.8023428032853,7.934059049259927
1216520,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Sharjah Cricket Stadium,Unknown,0.5243243243243243,0.45901639344262296,0.6923076923076923,84,8,167,5,129.75835639770065,7.400612171407994,137.65195137555983,8.027482375433147
1216524,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Dubai International Cricket Stadium,Unknown,0.5258620689655172,0.44808743169398907,0.625,156,2,164,5,137.5976624531538,8.017198727765344,129.69113602707847,7.405222350949113
1216499,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Sheikh Zayed Stadium,Abu Dhabi,0.4810810810810811,0.5876288659793815,0.36,85,2,116,0,133.90061266167461,7.835543766578249,134.7285886610374,8.044297832233742
1216536,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Dubai International Cricket Stadium,Unknown,0.521505376344086,0.5942857142857143,0.38095238095238093,194,6,114,9,137.64204545454547,7.898285038438793,133.92718822618124,7.83668099289536
1216537,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,Abu Dhabi,0.46195652173913043,0.5064935064935064,0.42105263157894735,126,7,154,6,137.7022762371584,7.912303206997084,134.74693021862834,8.046039142590867
